Component,Description,MPN,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C0603C104K4RAC,C8 C9,0.1uF,C_0603_HandSoldering,2,
2,Unpolarized capacitor,C0603C106M9PACTU,C6 C7,10uF,C_0603_HandSoldering,2,
3,Unpolarized capacitor,C0603C105K4RACTU,C4 C5,1uF,C_0603_HandSoldering,2,
4,Unpolarized capacitor,C0603C475M8PACTU,C1 C2,4u7,C_0603_HandSoldering,2,
5,,,CN1,JST_2PIN,JST_PH_S2B-PH-K_02x2.00mm_Angled,1,
6,LED generic,LTST-C190KGKT,D3,GREEN,LED_0603_HandSoldering,1,
7,LED generic,LTST-C190KRKT,D2,RED,LED_0603_HandSoldering,1,
8,,MCP73831T-2DCI/OT,IC-Charger1,MCP73831_SOT23-5,SOT-23-5_HandSoldering,1,https://cdn-shop.adafruit.com/datasheets/MCP73831.pdf
9,USB mini/micro connector,,J5,USB_OTG,USB_Micro-B_Molex-105017-0001,1,
10,,,JP1 JP2,PINHD-1X13,Pin_Header_Straight_1x13_Pitch2.54mm,2,
11,Resistor,ERJ-3GEYJ104V,R12,100k,R_0603_HandSoldering,1,
12,Resistor,ERJ-3GEYJ103V,R1 R2,10k,R_0603_HandSoldering,2,
13,Resistor,ERJ-3GEYJ203V,R3 R4 R5 R6 R7 R8,20k,R_0603_HandSoldering,6,
14,Resistor,ERJ-3GEYJ202V,R11,2k,R_0603_HandSoldering,1,
15,Resistor,ERJ-3GEYJ471V,R9 R10,470,R_0603_HandSoldering,2,
16,"150mA low dropout linear regulator, wide input voltage range, 1.5V fixed positive output, SOT-23-5 package",AP2112K-3.3TRG1,U4,AP2112K-3.3,SOT-23-5_HandSoldering,1,https://www.diodes.com/assets/Datasheets/AP2112.pdf
17,,,U2,ESP-12,ESP-12E,1,
18,Charlieplex LED Driver,,U3,IS31FL3731,QFN-28-1EP_4x4mm_Pitch0.4mm,1,http://www.issi.com/WW/pdf/31FL3731.pdf
19,,SI3805DV-T1-GE3,U1,SI3805,TSOT-23-6_HandSoldering,1,http://www.vishay.com/docs/68912/si3805dv.pdf
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Component Groups:,19,,,,,,
Component Count:,31,,,,,,
Fitted Components:,31,,,,,,
Number of PCBs:,1,,,,,,
Total components:,31,,,,,,
Schematic Version:,,,,,,,
Schematic Date:,,,,,,,
BoM Date:,2/21/2018 23:09,,,,,,
Schematic Source:,D:\Jason\Documents\Maker Projects\vdscroller\vdscroller.sch,,,,,,
KiCad Version:,Eeschema 4.0.7,,,,,,
